CaseName	EndPointSituation	RequestAmount	CreditScore	Variant	NumberOfOffers	LoanGoal
Application_1756336965	2	5000.0	0	143	1	Car
Application_700727122	1	15000.0	969	3	1	Other,seeexplanation
Application_566810422	3	5000.0	0	1	1	Car
Application_1927668866	3	25000.0	0	1	1	Homeimprovement
Application_379062460	2	21000.0	0	1375	3	Existingloantakeover
Application_1497610628	1	12000.0	0	297	2	Existingloantakeover
Application_1640897778	1	15000.0	716	17	1	Homeimprovement
Application_665516246	3	10000.0	0	1	1	Existingloantakeover
Application_1149858992	1	27000.0	916	6	1	Car
Application_409025300	2	5000.0	0	9	1	Car
Application_1198567315	3	5000.0	0	1	1	Other,seeexplanation
Application_1823839445	3	0.0	0	13	1	Homeimprovement
Application_1822380968	1	8000.0	776	5	1	Car
Application_901751997	1	25000.0	0	39	1	Car
Application_326706959	1	0.0	999	1376	2	Unknown
Application_1024184223	3	5000.0	0	1	1	Car
Application_1655945904	3	15000.0	0	4	1	Homeimprovement
Application_1709778182	1	25000.0	842	1377	4	Car
Application_519957138	1	5000.0	708	15	1	Car
Application_6033829	1	5000.0	1021	351	1	Car
Application_413083060	1	8500.0	977	2	1	Car
Application_1292813551	3	10000.0	0	1	1	Car
Application_2112041235	1	15000.0	768	6	1	Homeimprovement
Application_1525567146	3	5000.0	0	7	1	Car
Application_1109669022	1	10000.0	922	3	1	Homeimprovement
Application_124214356	2	7000.0	0	9	1	Car
Application_748856154	2	50000.0	0	9	1	Homeimprovement
Application_980651039	1	10000.0	1027	3	1	Car
Application_1454446491	3	15000.0	0	1378	3	Homeimprovement
Application_970742877	1	25000.0	938	84	2	Existingloantakeover
Application_488033776	1	15000.0	986	3	1	Car
Application_531422634	3	10000.0	0	1	1	Car
Application_274762869	1	10000.0	744	25	1	Car
Application_586047933	3	5000.0	0	1	1	Car
Application_1899881354	1	15000.0	928	3	1	Other,seeexplanation
Application_1031301694	3	10000.0	0	16	1	Car
Application_604172945	1	46000.0	871	50	1	Homeimprovement
Application_1257640100	3	5000.0	0	1	1	Homeimprovement
Application_966390800	1	16000.0	1029	2	1	Car
Application_1324325208	2	5500.0	0	9	1	Car
Application_107816336	3	21500.0	0	1	1	Car
Application_327981785	3	10750.0	0	7	1	Existingloantakeover
Application_1149528865	1	7000.0	993	2	1	Car
Application_218791491	2	15000.0	0	46	1	Car
Application_755257322	2	17000.0	0	9	1	Existingloantakeover
Application_257558141	3	29250.0	0	1	1	Car
Application_607223253	1	15000.0	1070	1379	7	Car
Application_70040656	3	6000.0	0	1	1	Car
Application_1824880246	1	25000.0	811	84	2	Car
Application_2145834654	1	5000.0	732	25	1	Car
Application_324425606	1	20000.0	991	2	1	Car
Application_1905304443	3	10000.0	0	1	1	Car
Application_2145481541	3	5000.0	0	1380	4	Car
Application_1442478156	3	50000.0	0	30	1	Homeimprovement
Application_1227679621	3	15000.0	0	14	2	Homeimprovement
Application_713812670	3	25000.0	0	14	2	Caravan/Camper
Application_1734221788	3	22250.0	0	1	1	Existingloantakeover
Application_2084033235	1	5000.0	1010	3	1	Homeimprovement
Application_362122643	3	8000.0	0	1	1	Car
Application_131099742	3	5000.0	0	1	1	Car
Application_1087106727	3	30000.0	0	1	1	Existingloantakeover
Application_1368772632	3	7500.0	0	88	1	Existingloantakeover
Application_1198627231	2	18000.0	0	9	1	Car
Application_690783761	3	5000.0	0	1	1	Taxpayments
Application_1141597090	1	14000.0	1013	26	1	Car
Application_1794795437	1	15000.0	903	355	2	Homeimprovement
Application_782138448	1	15000.0	1054	3	1	Extraspendinglimit
Application_254135108	1	6000.0	874	351	1	Homeimprovement
Application_426475492	3	15000.0	0	129	1	Homeimprovement
Application_583059905	3	5000.0	0	30	1	Homeimprovement
Application_2070343371	3	15000.0	0	14	2	Car
Application_76190541	1	6000.0	1027	6	1	Car
Application_434255573	3	5000.0	0	66	1	Other,seeexplanation
Application_360332231	1	5000.0	969	2	1	Homeimprovement
Application_1821918762	2	6000.0	0	9	1	Existingloantakeover
Application_1408601515	1	7400.0	919	137	2	Car
Application_2057695771	1	15000.0	974	6	1	Car
Application_325807242	3	5000.0	0	16	1	Car
Application_974496611	1	20000.0	903	2	1	Existingloantakeover
Application_793193911	1	10000.0	1028	180	2	Existingloantakeover
Application_313746063	1	15000.0	967	37	2	Car
Application_1101482453	1	25000.0	962	2	1	Homeimprovement
Application_743588336	1	25000.0	824	233	2	Existingloantakeover
Application_2110398373	3	8500.0	0	1	1	Homeimprovement
Application_1961321975	2	20000.0	0	44	1	Existingloantakeover
Application_1922694559	1	6500.0	909	2	1	Car
Application_1404407422	1	6500.0	1030	37	2	Car
Application_785097343	2	5500.0	0	18	1	Car
Application_44719289	1	6000.0	1030	6	1	Extraspendinglimit
Application_348390694	3	5000.0	0	1	1	Other,seeexplanation
Application_1651486302	3	5000.0	0	30	1	Car
Application_1208698592	3	40000.0	0	1	1	Car
Application_488139011	2	6000.0	0	9	1	Car
Application_105057931	1	15000.0	766	11	1	Unknown
Application_772295828	3	10300.0	0	4	1	Car
Application_1198022967	3	10000.0	0	93	2	Homeimprovement
Application_1421460886	1	22500.0	869	2	1	Homeimprovement
Application_2069958203	1	41500.0	0	12	1	Other,seeexplanation
Application_534034786	1	7000.0	0	5	1	Car
Application_1360435739	1	20000.0	1011	3	1	Car
Application_959593737	1	15000.0	691	5	1	Existingloantakeover
Application_601552538	1	40000.0	0	5	1	Homeimprovement
Application_2114427936	3	10000.0	0	13	1	Homeimprovement
Application_1679250637	1	41000.0	919	1381	2	Homeimprovement
Application_1528142708	1	28000.0	0	5	1	Extraspendinglimit
Application_1189177241	1	14000.0	0	5	1	Car
Application_1547168713	3	23000.0	0	1	1	Homeimprovement
Application_463117073	1	50000.0	920	10	1	Car
Application_842424685	3	20000.0	0	1382	2	Car
Application_348022624	3	27500.0	0	686	1	Caravan/Camper
Application_1721213353	1	6000.0	888	156	2	Car
Application_1059902505	1	20000.0	777	146	2	Existingloantakeover
Application_1889831782	3	7000.0	0	4	1	Existingloantakeover
Application_427827637	1	10000.0	896	2	1	Other,seeexplanation
Application_806607353	3	30000.0	0	13	1	Homeimprovement
Application_1607234426	3	15500.0	0	4	1	Car
Application_672639635	1	15000.0	880	26	1	Other,seeexplanation
Application_541575904	2	12000.0	0	9	1	Existingloantakeover
Application_1752344676	1	20000.0	0	5	1	Other,seeexplanation
Application_2112871278	1	7000.0	1001	40	2	Homeimprovement
Application_1832605266	2	11000.0	0	20	1	Car
Application_316759044	1	25000.0	885	5	1	Homeimprovement
Application_746936932	1	5000.0	889	2	1	Homeimprovement
Application_479135373	1	10000.0	979	5	1	Homeimprovement
Application_318964604	3	25000.0	0	1	1	Homeimprovement
Application_1401417715	1	13000.0	760	3	1	Existingloantakeover
Application_1435894906	1	8800.0	956	23	1	Remainingdebthome
Application_353338828	1	20000.0	913	3	1	Existingloantakeover
Application_264466585	1	15000.0	754	1383	2	Homeimprovement
Application_1239353720	3	5000.0	0	1	1	Homeimprovement
Application_1879575999	3	25000.0	0	30	1	Existingloantakeover
Application_767086253	1	16000.0	0	5	1	Homeimprovement
Application_265711162	3	20000.0	0	1384	1	Homeimprovement
Application_84655745	1	33500.0	0	12	1	Homeimprovement
Application_450352828	1	20000.0	0	5	1	Car
Application_1003634925	1	15000.0	0	5	1	Car
Application_2049213212	3	15000.0	0	13	1	Other,seeexplanation
Application_748616383	3	22500.0	0	13	1	Other,seeexplanation
Application_315324597	1	0.0	870	8	1	Car
Application_481853358	3	0.0	0	62	1	Unknown
Application_1399451352	3	5000.0	0	1	1	Car
Application_1782825495	1	17500.0	982	426	2	Remainingdebthome
Application_2073412943	3	32000.0	0	1	1	Existingloantakeover
Application_990619596	1	5000.0	924	3	1	Existingloantakeover
Application_1599355993	2	5000.0	0	265	1	Car
Application_1237464569	3	20000.0	0	4	1	Other,seeexplanation
Application_1780816335	1	5000.0	991	2	1	Car
Application_522532156	1	0.0	949	11	1	Unknown
Application_1217731716	1	6000.0	867	124	2	Notspeficied
Application_87913262	1	14000.0	0	1385	2	Homeimprovement
Application_1706544324	3	15500.0	0	13	1	Homeimprovement
Application_2070526377	2	22500.0	0	42	1	Homeimprovement
Application_1625212778	1	0.0	989	973	1	Unknown
Application_819544693	3	13500.0	0	4	1	Homeimprovement
Application_61399806	1	5000.0	931	490	2	Other,seeexplanation
Application_1322937714	3	5250.0	0	30	1	Car
Application_1922652134	3	5000.0	0	4	1	Homeimprovement
Application_1476227188	1	10000.0	961	2	1	Car
Application_1889759116	2	12500.0	0	9	1	Existingloantakeover
Application_563461267	1	30000.0	977	3	1	Existingloantakeover
Application_1863366950	1	5000.0	816	23	1	Existingloantakeover
Application_2084120380	3	6000.0	0	1	1	Motorcycle
Application_1429913776	1	10000.0	958	3	1	Car
Application_1291416564	1	0.0	0	12	1	Unknown
Application_1506301906	1	20000.0	792	2	1	Existingloantakeover
Application_82670864	1	15000.0	1022	26	1	Notspeficied
Application_432629019	1	15000.0	752	15	1	Car
Application_526087821	1	0.0	1070	8	1	Unknown
Application_972243354	1	5000.0	1051	10	1	Car
Application_1924118035	1	30000.0	683	1386	2	Car
Application_1194399744	1	10000.0	960	6	1	Existingloantakeover
Application_869832720	3	8000.0	0	118	2	Car
Application_979974800	3	10000.0	0	1	1	Homeimprovement
Application_1780904875	2	5000.0	0	18	1	Homeimprovement
Application_1884549418	3	10000.0	0	27	2	Car
Application_1756165830	1	5000.0	1067	2	1	Homeimprovement
Application_820873162	1	0.0	919	11	1	Unknown
Application_458947293	1	7500.0	1030	3	1	Car
Application_700651799	3	28000.0	0	4	1	Homeimprovement
Application_510796401	3	22500.0	0	93	2	Homeimprovement
Application_2126923970	1	0.0	890	22	1	Unknown
Application_285495099	3	5000.0	0	4	1	Extraspendinglimit
Application_295979157	2	10000.0	0	1387	2	Homeimprovement
Application_1589761842	1	25000.0	813	25	1	Existingloantakeover
Application_940872681	3	10000.0	0	1	1	Car
Application_1776444662	1	14000.0	684	67	2	Existingloantakeover
Application_1561493056	1	15000.0	791	8	1	Existingloantakeover
Application_1941008954	3	25000.0	0	1	1	Car
Application_1205404110	1	0.0	1036	8	1	Car
Application_553578355	1	15000.0	648	3	1	Homeimprovement
Application_1163540696	1	6000.0	1071	833	2	Car
Application_1358960430	1	15000.0	664	619	2	Homeimprovement
Application_985631534	3	18000.0	0	13	1	Car
Application_1165374687	1	25000.0	0	12	1	Car
Application_467389435	3	11000.0	0	13	1	Car
Application_1632818432	2	5000.0	0	9	1	Notspeficied
Application_711068971	2	7000.0	0	18	1	Existingloantakeover
Application_1920126295	1	21500.0	1082	196	2	Existingloantakeover
Application_1168520628	3	30000.0	0	88	1	Existingloantakeover
Application_1812850848	1	16000.0	899	3	1	Existingloantakeover
Application_337779897	3	10000.0	0	1	1	Car
Application_2145337963	1	15000.0	767	28	2	Car
Application_1795732931	1	10000.0	882	2	1	Existingloantakeover
Application_81202491	1	41000.0	945	2	1	Homeimprovement
Application_1814348299	1	10000.0	944	26	1	Car
Application_1163829518	3	15000.0	0	1	1	Car
Application_1190759636	1	10000.0	793	3	1	Existingloantakeover
Application_233626909	3	22000.0	0	19	2	Existingloantakeover
Application_667979390	1	5000.0	723	17	1	Homeimprovement
Application_1460888303	3	14500.0	0	16	1	Existingloantakeover
Application_385817969	3	30000.0	0	13	1	Car
Application_735592901	1	0.0	935	10	1	Unknown
Application_294573356	1	9000.0	924	12	1	Existingloantakeover
Application_704796256	1	6000.0	1052	49	2	Homeimprovement
Application_1779032492	3	15000.0	0	4	1	Car
Application_547763286	1	0.0	905	10	1	Unknown
Application_327979815	1	0.0	984	11	1	Unknown
Application_1538031590	1	0.0	696	11	1	Unknown
Application_730818142	1	50000.0	0	5	1	Existingloantakeover
Application_1046650299	1	25000.0	896	10	1	Other,seeexplanation
Application_26525477	1	5000.0	1093	3	1	Car
Application_1434879434	1	15000.0	957	816	2	Homeimprovement
Application_1117656689	1	6000.0	1036	196	2	Existingloantakeover
Application_1475120720	3	22000.0	0	16	1	Car
Application_1268420465	3	7500.0	0	1	1	Homeimprovement
Application_1045362302	1	35000.0	969	17	1	Homeimprovement
Application_1824185814	1	10000.0	1001	8	1	Homeimprovement
Application_391525553	3	12000.0	0	1	1	Car
Application_593449510	2	24250.0	0	85	1	Existingloantakeover
Application_1755923861	3	7000.0	0	1	1	Car
Application_1822686904	2	0.0	0	42	1	Car
Application_1599321616	1	50000.0	870	3	1	Homeimprovement
Application_896096646	1	0.0	761	10	1	Other,seeexplanation
Application_782113142	1	6000.0	1051	11	1	Car
Application_1098590593	1	6000.0	1004	40	2	Car
Application_1414513594	3	22500.0	0	13	1	Car
Application_291930684	1	29000.0	818	11	1	Car
Application_110600230	1	15000.0	951	372	2	Car
Application_340687616	3	23000.0	0	4	1	Existingloantakeover
Application_1365677392	1	50000.0	948	157	2	Extraspendinglimit
Application_1319320930	1	25000.0	902	812	3	Car
Application_1855489393	1	15000.0	698	922	1	Existingloantakeover
Application_2077194593	1	15000.0	757	150	1	Car
Application_307198667	1	10000.0	797	2	1	Homeimprovement
Application_8728751	1	15000.0	968	8	1	Remainingdebthome
Application_324588834	3	25000.0	0	1	1	Homeimprovement
Application_1886066901	1	27000.0	0	5	1	Existingloantakeover
Application_1823345453	3	50000.0	0	1	1	Homeimprovement
Application_313222833	1	15000.0	937	3	1	Car
Application_317767301	1	0.0	1046	56	2	Unknown
Application_103076193	3	5000.0	0	7	1	Car
Application_545562925	3	35000.0	0	4	1	Remainingdebthome
Application_1886733883	3	10000.0	0	1	1	Homeimprovement
Application_1831233134	3	10000.0	0	1	1	Car
Application_2045949745	1	35000.0	900	10	1	Other,seeexplanation
Application_972266787	2	8000.0	0	18	1	Notspeficied
Application_390192582	3	5000.0	0	1	1	Notspeficied
Application_1157383835	2	16800.0	0	1388	2	Existingloantakeover
Application_1346861296	3	0.0	0	27	2	Unknown
Application_710433184	1	12000.0	989	34	2	Homeimprovement
Application_27565730	1	5000.0	964	29	1	Existingloantakeover
Application_750112877	1	10000.0	784	8	1	Existingloantakeover
Application_2138403514	3	0.0	0	13	1	Unknown
Application_699852953	3	10000.0	0	1389	2	Homeimprovement
Application_438549352	1	16000.0	822	8	1	Existingloantakeover
Application_752441949	3	10000.0	0	203	1	Other,seeexplanation
Application_2050582956	1	10000.0	797	535	2	Homeimprovement
Application_1394552437	3	6250.0	0	250	1	Car
Application_1171008881	2	5000.0	0	18	1	Existingloantakeover
Application_695067495	3	5000.0	0	1	1	Car
Application_600946581	1	24000.0	843	6	1	Other,seeexplanation
Application_1845545288	3	10000.0	0	4	1	Homeimprovement
Application_761750782	3	6400.0	0	4	1	Homeimprovement
Application_1764056617	2	0.0	0	20	1	Car
Application_304416200	1	6900.0	1000	15	1	Notspeficied
Application_171520715	2	7000.0	0	9	1	Homeimprovement
Application_396643899	3	11000.0	0	1	1	Other,seeexplanation
Application_1393697331	1	5000.0	849	2	1	Homeimprovement
Application_677422767	1	5000.0	660	32	1	Car
Application_1471849782	3	0.0	0	4	1	Unknown
Application_1155986927	3	6000.0	0	7	1	Car
Application_1629283457	1	15000.0	1011	2	1	Car
Application_1466768841	2	20000.0	0	491	1	Car
Application_834711528	2	10000.0	0	46	1	Notspeficied
Application_242197883	3	18500.0	0	1	1	Other,seeexplanation
Application_431846898	2	15000.0	0	85	1	Homeimprovement
Application_1908738724	1	8000.0	895	2	1	Homeimprovement
Application_834780812	1	5000.0	908	232	2	Car
Application_1184458941	3	20000.0	0	1390	6	Car
Application_239597428	1	10000.0	909	194	2	Car
Application_1386685470	3	7500.0	0	7	1	Existingloantakeover
Application_866192051	2	5000.0	0	18	1	Homeimprovement
Application_2104302319	1	8000.0	884	50	1	Car
Application_1225343300	1	21500.0	881	48	1	Notspeficied
Application_1019084704	3	11000.0	0	408	1	Car
Application_797815324	3	7000.0	0	14	2	Car
Application_419387657	2	15000.0	0	163	1	Car
Application_634330591	2	5000.0	0	9	1	Car
Application_1718684938	3	5000.0	0	4	1	Existingloantakeover
Application_2068069228	1	15000.0	922	10	1	Car
Application_2060840297	1	7500.0	1022	2	1	Homeimprovement
Application_1484183993	1	25000.0	880	22	1	Other,seeexplanation
Application_1294868910	1	0.0	980	8	1	Unknown
Application_1751789692	3	39000.0	0	1	1	Existingloantakeover
Application_1911112705	2	14500.0	0	54	2	Existingloantakeover
Application_858441351	1	10000.0	906	22	1	Car
Application_954960816	3	23000.0	0	41	2	Existingloantakeover
Application_1313000546	3	0.0	0	1391	1	Unknown
Application_1671790008	1	10000.0	722	1392	4	Car
Application_1210095800	1	7000.0	0	5	1	Homeimprovement
Application_763359560	1	5000.0	1061	11	1	Car
Application_405102018	2	23000.0	0	42	1	Caravan/Camper
Application_1652866023	1	5000.0	1023	2	1	Other,seeexplanation
Application_1066827688	1	25000.0	869	2	1	Homeimprovement
Application_1382835037	1	10000.0	656	8	1	Car
Application_80832527	2	5000.0	0	20	1	Car
Application_408742254	3	18000.0	0	1	1	Existingloantakeover
Application_404173557	1	0.0	1031	328	2	Unknown
Application_593761962	3	15000.0	0	4	1	Other,seeexplanation
Application_412241860	1	25000.0	0	61	2	Homeimprovement
Application_1667394009	2	10000.0	0	9	1	Existingloantakeover
Application_595434665	1	7500.0	806	49	2	Car
Application_125028754	3	10000.0	0	64	1	Car
Application_1840348307	3	16000.0	0	1	1	Other,seeexplanation
Application_2004232010	1	10000.0	1063	55	1	Existingloantakeover
Application_542637464	3	5000.0	0	1	1	Homeimprovement
Application_859417645	1	31500.0	974	2	1	Existingloantakeover
Application_233617580	2	10000.0	0	175	2	Car
Application_1354823611	2	20000.0	0	54	2	Notspeficied
Application_1182628609	3	25000.0	0	1393	2	Existingloantakeover
Application_107622056	1	21000.0	798	96	2	Existingloantakeover
Application_724059324	3	35000.0	0	1	1	Existingloantakeover
Application_1582681038	1	34000.0	846	15	1	Existingloantakeover
Application_1932207613	1	18000.0	828	25	1	Existingloantakeover
Application_1916324724	3	5000.0	0	63	1	Homeimprovement
Application_716961512	2	8700.0	0	9	1	Car
Application_1617693685	2	10000.0	0	9	1	Car
Application_905416678	1	15000.0	0	1394	2	Homeimprovement
Application_543260505	3	50000.0	0	19	2	Notspeficied
Application_1243011234	2	0.0	0	38	1	Unknown
Application_969256395	3	12000.0	0	4	1	Existingloantakeover
Application_30101703	1	18700.0	937	11	1	Extraspendinglimit
Application_396109590	1	15000.0	838	11	1	Car
Application_999352398	1	45000.0	905	1395	2	Existingloantakeover
Application_68557738	2	5000.0	0	9	1	Existingloantakeover
Application_297906450	1	22000.0	920	8	1	Homeimprovement
Application_430144035	2	15000.0	0	24	1	Car
Application_1611018977	2	10000.0	0	59	2	Car
Application_1786863017	1	26500.0	0	12	1	Car
Application_2057825541	1	5000.0	705	47	1	Homeimprovement
Application_311739802	3	5000.0	0	16	1	Car
Application_880569455	1	15000.0	796	3	1	Other,seeexplanation
Application_1344139947	2	5000.0	0	163	1	Car
Application_2015450212	3	5000.0	0	4	1	Taxpayments
Application_986376341	3	10000.0	0	1	1	Car
Application_231467531	1	7000.0	995	3	1	Homeimprovement
Application_67839860	1	22000.0	0	12	1	Existingloantakeover
Application_1827181681	2	5000.0	0	1396	2	Car
Application_824524096	1	0.0	847	10	1	Unknown
Application_124232458	1	10000.0	1003	3	1	Car
Application_65218137	1	50000.0	864	959	1	Existingloantakeover
Application_693515426	1	30000.0	798	10	1	Car
Application_901902327	3	30000.0	0	1	1	Homeimprovement
Application_704895325	1	7500.0	940	23	1	Car
Application_388851428	1	5000.0	962	26	1	Homeimprovement
Application_180046984	3	22500.0	0	16	1	Notspeficied
Application_829027028	3	0.0	0	4	1	Unknown
Application_1010084086	3	5000.0	0	7	1	Existingloantakeover
Application_1758930310	1	15000.0	956	25	1	Notspeficied
Application_1887346433	1	0.0	902	10	1	Car
Application_1654488419	3	5000.0	0	1	1	Car
Application_1207682902	2	12000.0	0	1397	1	Car
Application_584076631	3	10000.0	0	16	1	Car
Application_655959249	1	10000.0	1073	1398	3	Car
Application_2015777874	1	20000.0	977	1399	4	Car
Application_1816982255	1	6738.0	812	48	1	Other,seeexplanation
Application_804427786	3	13000.0	0	7	1	Car
Application_1663014149	1	35000.0	919	15	1	Homeimprovement
Application_250545532	1	22000.0	929	15	1	Car
Application_465679964	1	5000.0	943	65	2	Car
Application_1949574213	1	15000.0	916	6	1	Existingloantakeover
Application_1928348592	3	15000.0	0	1	1	Car
Application_364836850	1	0.0	911	290	1	Unknown
Application_1295664079	1	12000.0	924	2	1	Existingloantakeover
Application_932535957	1	25000.0	875	723	2	Other,seeexplanation
Application_1721043299	3	10000.0	0	13	1	Car
Application_2131472816	1	5000.0	919	10	1	Other,seeexplanation
Application_140283716	1	5000.0	987	6	1	Other,seeexplanation
Application_32434675	1	24000.0	851	1400	5	Existingloantakeover
Application_858872748	3	19200.0	0	4	1	Remainingdebthome
Application_2095052447	3	5000.0	0	62	1	Other,seeexplanation
Application_998600110	2	6500.0	0	42	1	Other,seeexplanation
Application_1306442758	3	20000.0	0	16	1	Homeimprovement
Application_431394553	1	30000.0	777	154	3	Homeimprovement
Application_216431641	1	15000.0	994	157	2	Notspeficied
Application_284177408	3	12500.0	0	4	1	Existingloantakeover
Application_1193470902	1	0.0	922	10	1	Unknown
Application_427859499	2	13000.0	0	1401	1	Car
Application_239032241	1	7000.0	1105	8	1	Car
Application_1384713944	2	10000.0	0	231	3	Existingloantakeover
Application_1867227683	1	30000.0	921	53	2	Homeimprovement
Application_2111826129	3	5000.0	0	1	1	Car
Application_53038581	2	6500.0	0	1059	2	Other,seeexplanation
Application_193502217	3	26000.0	0	1	1	Homeimprovement
Application_522220478	2	50000.0	0	468	2	Existingloantakeover
Application_1955037299	1	8000.0	925	674	3	Car
Application_1006489560	1	28000.0	977	10	1	Homeimprovement
Application_49228166	3	6000.0	0	1	1	Car
Application_591389403	1	10000.0	745	23	1	Car
Application_953994341	2	8000.0	0	18	1	Car
Application_2031072542	2	13000.0	0	20	1	Homeimprovement
Application_1326446013	3	17000.0	0	1	1	Existingloantakeover
Application_878258869	1	20000.0	780	225	2	Car
Application_246521681	2	5000.0	0	18	1	Existingloantakeover
Application_116589495	1	45000.0	0	12	1	Car
Application_2020636571	1	7500.0	0	5	1	Homeimprovement
Application_2033632210	1	7500.0	935	17	1	Existingloantakeover
Application_1911653271	3	15800.0	0	62	1	Other,seeexplanation
Application_54944838	3	20000.0	0	13	1	Homeimprovement
Application_355337	1	7500.0	897	3	1	Car
Application_1518351559	1	30000.0	0	12	1	Homeimprovement
Application_1840606572	1	6000.0	1073	2	1	Homeimprovement
Application_582038234	2	11000.0	0	9	1	Existingloantakeover
Application_662107856	1	26000.0	892	3	1	Car
Application_944445134	1	15000.0	757	2	1	Homeimprovement
Application_4855985	1	25000.0	829	3	1	Existingloantakeover
Application_1485858591	3	5000.0	0	7	1	Homeimprovement
Application_1203711600	2	5000.0	0	304	2	Homeimprovement
Application_1199473910	1	15000.0	917	23	1	Car
Application_1003184938	1	6000.0	1029	6	1	Car
Application_132629166	3	15000.0	0	1	1	Homeimprovement
Application_2131249132	3	5500.0	0	14	2	Existingloantakeover
Application_1447649427	1	20000.0	885	1402	3	Homeimprovement
Application_1162167865	3	7500.0	0	13	1	Car
Application_1661187046	1	35000.0	938	11	1	Existingloantakeover
Application_524059677	1	8750.0	743	2	1	Car
Application_1124532331	3	7488.0	0	1	1	Existingloantakeover
Application_800242481	3	5000.0	0	16	1	Existingloantakeover
Application_1587744403	1	10000.0	1025	233	2	Homeimprovement
Application_1506321327	1	25000.0	882	10	1	Car
Application_558734362	2	5000.0	0	44	1	Car
Application_937997530	2	8000.0	0	9	1	Car
Application_1515013587	1	13000.0	0	61	2	Other,seeexplanation
Application_1102053584	2	6500.0	0	20	1	Car
Application_1171245943	3	5000.0	0	7	1	Car
Application_484867859	1	5000.0	694	43	1	Other,seeexplanation
Application_408539081	3	5000.0	0	358	1	Car
Application_1625730217	1	15000.0	896	8	1	Caravan/Camper
Application_1530527378	1	30000.0	0	12	1	Remainingdebthome
Application_1720546254	3	6000.0	0	1	1	Car
Application_91858316	2	5000.0	0	46	1	Homeimprovement
Application_379536869	1	7500.0	1007	1403	1	Boat
Application_2041082181	1	7500.0	882	43	1	Existingloantakeover
Application_1756103662	1	20000.0	811	2	1	Other,seeexplanation
Application_665774560	1	5000.0	1100	3	1	Existingloantakeover
Application_417174257	1	7500.0	960	3	1	Existingloantakeover
Application_813953346	3	5000.0	0	14	2	Notspeficied
Application_1445931328	1	40000.0	895	1404	2	Existingloantakeover
Application_159653881	1	10000.0	922	23	1	Car
Application_918090511	1	6000.0	1030	3	1	Car
Application_343114176	3	6000.0	0	1	1	Car
Application_15123304	3	5000.0	0	7	1	Car
Application_1858993401	2	6000.0	0	9	1	Existingloantakeover
Application_362700369	3	5000.0	0	41	2	Other,seeexplanation
Application_708068055	1	6000.0	901	34	2	Existingloantakeover
Application_1424383499	1	5000.0	736	8	1	Existingloantakeover
Application_1066345355	1	7000.0	1090	2	1	Homeimprovement
Application_1823706656	2	5000.0	0	126	1	Car
Application_1995055505	1	5000.0	967	6	1	Car
Application_738515459	3	22000.0	0	1	1	Car
Application_95663587	1	0.0	884	10	1	Homeimprovement
Application_2051033566	3	0.0	0	1405	2	Homeimprovement
Application_845388026	1	10000.0	907	28	2	Extraspendinglimit
Application_1493252145	2	11000.0	0	1406	2	Existingloantakeover
Application_1024771048	3	10000.0	0	142	1	Car
Application_1728204848	1	7250.0	859	22	1	Existingloantakeover
Application_1916810735	3	25000.0	0	120	1	Homeimprovement
Application_1141179580	2	15000.0	0	20	1	Other,seeexplanation
Application_1179036032	1	15000.0	1073	37	2	Homeimprovement
Application_244740578	3	9000.0	0	1407	3	Homeimprovement
Application_402271064	2	20000.0	0	9	1	Existingloantakeover
Application_1368808315	1	12900.0	1080	8	1	Car
Application_364592051	1	17000.0	875	2	1	Existingloantakeover
Application_720733485	3	10720.0	0	1	1	Existingloantakeover
Application_396051412	1	10000.0	935	21	1	Existingloantakeover
Application_1376787082	3	8000.0	0	4	1	Car
Application_169871716	1	17000.0	815	733	1	Remainingdebthome
Application_350290729	3	25500.0	0	41	2	Existingloantakeover
Application_1339159850	1	20000.0	974	804	3	Boat
Application_1022532415	1	27000.0	794	10	1	Other,seeexplanation
Application_1542513431	1	23000.0	831	104	2	Remainingdebthome
Application_835389685	1	8700.0	0	5	1	Existingloantakeover
Application_332612552	1	20000.0	930	2	1	Homeimprovement
Application_1329278647	3	7000.0	0	1	1	Existingloantakeover
Application_1135018742	1	7000.0	851	303	2	Homeimprovement
Application_1765752001	3	10000.0	0	4	1	Homeimprovement
Application_1084806237	1	5000.0	1046	2	1	Other,seeexplanation
Application_427361980	3	9500.0	0	97	2	Car
Application_1499063234	3	28000.0	0	1	1	Remainingdebthome
Application_330311767	1	18100.0	0	12	1	Existingloantakeover
Application_983226435	2	0.0	0	20	1	Unknown
Application_658773748	1	5000.0	943	8	1	Existingloantakeover
Application_1089265210	3	10000.0	0	4	1	Car
Application_1954143245	3	5000.0	0	1	1	Car
Application_1601282084	3	5000.0	0	4	1	Car
Application_1377965187	1	17000.0	679	108	1	Unknown
Application_93245644	1	0.0	684	419	2	Unknown
Application_264244636	1	7000.0	747	23	1	Homeimprovement
Application_1338359850	1	15000.0	1028	28	2	Homeimprovement
Application_1954964010	1	40000.0	814	1408	3	Car
Application_2135934356	3	10000.0	0	4	1	Car
Application_1960710654	1	20000.0	1073	10	1	Car
Application_1060353640	3	7000.0	0	1	1	Car
Application_1377547919	3	6500.0	0	13	1	Car
Application_2001644158	3	38000.0	0	4	1	Homeimprovement
Application_1653740686	3	10000.0	0	1	1	Car
Application_1859159657	3	23500.0	0	1	1	Existingloantakeover
